172.18.0.1 - - [22/Apr/2025:14:40:24 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15" "-"
172.19.0.1 - - [23/Apr/2025:14:58:01 +0000] "GET / HTTP/1.1" 301 169 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:01:30 +0000] "GET / HTTP/1.1" 301 169 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:01 +0000] "GET / HTTP/1.1" 301 169 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:08 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x02\xC6\x0F9i\xA4\x99\x17\xF2J2m\xFF\xF1\xB4-\xAA\xF5\xCF\xCD\x10\xAB\xAE\x8D\xB1\x8C\xF4!Dul\xC2 \x85\xB8\xB3\x86\xF26\xD0\xFB\xBCN\xD4\xC4!\xAC4\xBF\x07M\xBDAX\xD1\x89B2\xF60\x91\x7F\xE0}\x98\x00*\xCA\xCA\x13\x01\x13\x02\x13\x03\xC0,\xC0+\xCC\xA9\xC00\xC0/\xCC\xA8\xC0" 400 157 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:08 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03j\x1Er" 400 157 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:08 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x0F3#\xCD\x89\xFD" 400 157 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:08 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x890\xE3" 400 157 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:08 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03T\x94U\xF5\xC5\xA6\xA9\xA7\x107\x9F\xFC\xDBn\xD1\xA0\x00\x5Cd\xE3A\xFFRxG\x89J6>=_\xA1 =\xD6\xF7\x9F\xCCX.2@\x86\xE2\x1F\x86\xB4\x91\xB8\x80\x89\x1Ev\xDBn\x9EK|\xAC\xBB\x05)S\xE2\x82\x00*\x8A\x8A\x13\x01\x13\x02\x13\x03\xC0,\xC0+\xCC\xA9\xC00\xC0/\xCC\xA8\xC0" 400 157 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:08 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x031\xA1\x06\x91Z\x1D\xE2f\xCD\xB9\xAC|\xAC\xCD\xAC!xK\xED?\xF3\x8F_\x93I\xB7\xAA\xA5D\xB5\xE8q 5C[\xF7\x15\x8B\x16\x84\x98\xC3o\x83\xF8\x07\x00j %\x89\x99\xCAv\xA3\x03\x12l\x8B\xF2\xDF\xEB\x87h\x00*JJ\x13\x01\x13\x02\x13\x03\xC0,\xC0+\xCC\xA9\xC00\xC0/\xCC\xA8\xC0" 400 157 "-" "-" "-"
172.19.0.1 - - [23/Apr/2025:15:03:09 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xFF\x5C\xA4\xE6\x0E\xB9\x8F\xAA1-\xC3\xF8\x03\xEE\xF1s\x02\xF6q\xDF\xC6\xC7hMk\xCC{\xE1\xA64d\x9B vY\xA9.=K\xB0\xA5\x9Dwr\x9A\xB4('$>\xB1z\x04\xF4\x1Dc&O^\xE9\xC6\xDD\x8FH\x19\x00*\xEA\xEA\x13\x01\x13\x02\x13\x03\xC0,\xC0+\xCC\xA9\xC00\xC0/\xCC\xA8\xC0" 400 157 "-" "-" "-"
